LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.1,51692.84275
AUT,Austria,7.2,48586.80132
BEL,Belgium,6.8,45159.34822
BRA,Brazil,6.1,6796.844542
CAN,Canada,7,43294.64816
CHE,Switzerland,7.5,87097.03645
CHL,Chile,6.2,13231.70421
CZE,Czech Republic,6.9,61063.31643
DEU,Germany,7.3,46208.42947
DNK,Denmark,7.5,61063.31643
ESP,Spain,6.5,27063.19392
EST,Estonia,6.5,23027.027
FIN,Finland,7.9,48744.98813
FRA,France,6.7,39030.36037
GBR,United Kingdom,6.8,41059.16881
GRC,Greece,5.8,17622.541
HUN,Hungary,6,15980.74089
IRL,Ireland,7,85267.76474
ISL,Iceland,7.6,59270.18005
ISR,Israel,7.2,44168.94364
ITA,Italy,6.5,31714.22095
JPN,Japan,6.1,40193.25244
KOR,Korea,5.8,31631.46945
LUX,Luxembourg,7.4,116014.6025
LVA,Latvia,6.2,17726.25294
MEX,Mexico,6,8329.271313
NLD,Netherlands,7.5,52397.11671
NOR,Norway,7.3,67329.67779
NZL,New Zealand,7.3,41441.46667
POL,Poland,6.1,15720.99466
PRT,Portugal,5.8,22176.29671
RUS,Russia,5.5,10126.72179
SVK,Slovak Republic,6.5,19266.51357
SVN,Slovenia,6.5,25517.33067
SWE,Sweden,7.3,52274.40879
TUR,Turkey,4.9,8536.43332
USA,United States,7,63593.44362
ZAF,South Africa,4.9,5655.867654
